symbol,timeframe,tf_rule,sharpe,sortino,total_return_pct,max_drawdown_pct,alpha_pct,beta,win_rate,opt_m_var,opt_z_thresh,opt_window
AES,1Min,1min,12.078604855105416,6.146285538484194,35.90188008378885,-0.6360424028268469,35.9258101318793,0.007764115697508031,0.723939611790079,0.001,1.0,10
NKE,1Min,1min,7.364053690113215,8.575364623732249,62.99656996320149,-2.140594778946767,63.6281009496664,0.20490053454726054,0.541038961038961,0.001,1.0,20
NOW,1Min,1min,6.382645819808632,6.294587451121637,100.92947930766387,-6.2397242895000025,100.82357297677333,-0.034361360371060475,0.5384444444444444,0.001,1.0,10
AAPL,1Min,1min,6.37194452739304,6.458804846746463,36.892900077110994,-1.725314244440595,37.0319581469616,0.04511745813929708,0.5392354124748491,0.001,1.0,10
MSFT,1Min,1min,5.845470772681299,6.193218358474258,35.21434398324028,-2.8130390791243185,35.56231841910585,0.11290047431678636,0.53904326415758,0.001,1.0,10
NFLX,1Min,1min,5.465299847732344,5.184443893595196,42.49440615798734,-2.3866491476073155,42.919992256329294,0.13808161581156841,0.5448625180897251,0.001,1.0,20
PANW,1Min,1min,5.452216697716215,4.5859727832322355,49.583851232107776,-2.1809946783385,49.799483642926894,0.06996204016824882,0.5442733397497593,0.001,2.0,10
WMT,1Min,1min,5.282767971805887,4.592834425224738,28.46158239144532,-2.6051122114278873,28.452777942174016,-0.0028566078319956236,0.530297182554998,0.001,1.5,20
DVN,1Min,1min,5.273674094573985,4.688326200987031,55.74874443265705,-2.4746818489103295,55.73357127320519,-0.004922938935837072,0.5379113018597997,0.001,1.0,10
AMZN,1Min,1min,5.246340651845351,5.205051939151765,40.19341077952503,-2.255033679288929,40.80763093127189,0.19928402583556107,0.5367504835589942,0.001,1.0,10
UNH,1Min,1min,5.189666934458991,4.772951776087816,32.09721782360047,-3.2316276137890636,32.02457410248729,-0.02356929051242847,0.5410247223217485,0.001,1.5,20
PSKY,1Min,1min,5.155181540732999,4.672021696628304,82.74477419681587,-6.443701315171252,82.98199602887809,0.07696673835105068,0.5366112486735055,0.001,1.0,10
PYPL,1Min,1min,5.124745126979347,4.0602631286561985,56.60594961126619,-2.6774132544604825,57.08746164021428,0.1562268110939003,0.5403201449713078,0.001,1.0,20
SMCI,1Min,1min,5.069623727840756,5.019103348363314,78.51505571395383,-5.600267649443738,78.84299304165565,0.10639942486470157,0.5313720983681912,0.001,1.0,10
F,1Min,1min,5.067138526852221,4.797654427177588,43.58284609093208,-3.1293856076600886,43.591996281852225,0.002968783877480421,0.5489374438790782,0.001,1.0,10
EQT,1Min,1min,5.050583687050624,4.513979035310106,56.8102246344234,-3.086034912718207,56.637807741047084,-0.05594074459519631,0.5228718570130264,0.01,1.0,20
IBM,5Min,5min,5.031558138693887,6.211261200594355,42.362659270221535,-3.7495096795048677,41.840858677894325,-0.16929845500288718,0.5479274611398963,0.001,1.0,20
OXY,1Min,1min,4.996851412285138,5.571037058327435,60.39306250432759,-3.840520200849807,60.833477243555656,0.1428927755318278,0.5273477812177503,0.001,1.0,10
HOOD,1Min,1min,4.966693874131727,5.976083316580894,83.0113721509454,-6.525744626516677,83.7926764030924,0.2534945431657967,0.5284447728112301,0.001,1.0,10
T,1Min,1min,4.8866937445663705,4.170985243762046,28.673504540792315,-2.1948464458454864,28.64594740134041,-0.008940927247127242,0.5309130122214234,0.001,1.0,20
LMT,1Min,1min,4.8293619766977764,3.701885294245557,36.02677771855323,-2.2045319905213323,36.25110350646642,0.07278261057852649,0.529340592861464,0.001,1.0,10
