symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
SYF,1Month,1Min,0.001,1.0,10,0.1237065026712596,-0.07938974431416868,1.091822001420953,1.233705931897718,0.1250210148860284,-0.09633346074385268,-0.10608069022252452,0.5072487113402062,3104
SYF,1Month,1Min,0.001,1.0,20,0.12233042177410836,-0.07938974431416868,1.1040851714818198,1.2133295570544331,0.12355406109959029,-0.08967388024361608,-0.11048530569521063,0.5061770761839396,2914
SYF,1Month,1Min,0.001,1.0,30,0.11009115132960834,-0.07938974431416868,1.0167122517258926,1.0863277715077277,0.11116201675730833,-0.07847791103213933,-0.10059356388817513,0.5057992026096412,2759
SYF,1Month,1Min,0.001,1.5,10,0.12640883469960218,-0.07938974431416868,1.1624439706106169,1.2145952980721688,0.1274774081145941,-0.07830994186931353,-0.08815193731168641,0.5075800112296462,2671
SYF,1Month,1Min,0.001,1.5,20,0.10457605051011942,-0.07938974431416868,0.9950452605691059,0.9693718398185529,0.10584271927010447,-0.09282727379368245,-0.09505556244333833,0.5040895393887215,2323
SYF,1Month,1Min,0.001,1.5,30,0.11870642820582433,-0.07938974431416868,1.1398810124078946,1.0619426279046873,0.11980547675118529,-0.08054329865526554,-0.08408053758442123,0.5032258064516129,2092
SYF,1Month,1Min,0.001,2.0,10,0.09923244506633355,-0.07938974431416868,0.9724666351185061,0.9147281832212764,0.10042647627195525,-0.08750406194888354,-0.0817800432711074,0.5057679258086406,2210
SYF,1Month,1Min,0.001,2.0,20,0.11378505393840133,-0.07938974431416868,1.1349193303910856,0.973061949552269,0.114924911339472,-0.08353395804613695,-0.08377620019054668,0.502970297029703,1767
SYF,1Month,1Min,0.001,2.0,30,0.08996612754620226,-0.07938974431416868,0.9294036083649481,0.7356714792353976,0.09112882536397852,-0.08520780813391866,-0.08162956330602526,0.4995070653959908,1521
SYF,1Month,1Min,0.01,1.0,10,0.1915514706675474,-0.07938974431416868,1.5906760980879213,2.0085094951658795,0.19234651759206578,-0.05826467097993705,-0.09996368691407177,0.5038134983450856,3474
SYF,1Month,1Min,0.01,1.0,20,0.18908402694576587,-0.07938974431416868,1.604205032931,1.9756237414592104,0.18981714962994803,-0.05372657973323622,-0.10790765596394947,0.5043136067806872,3303
SYF,1Month,1Min,0.01,1.0,30,0.2233744841614813,-0.07938974431416868,1.876503835883311,2.2755773231404715,0.22414585247134064,-0.05652939391662882,-0.11120524817384404,0.5058103015075377,3184
SYF,1Month,1Min,0.01,1.5,10,0.14124498426762577,-0.07938974431416868,1.2526330569620918,1.5065022374760564,0.14205746491725457,-0.05954229400593473,-0.09992280793344631,0.502558536207164,3224
SYF,1Month,1Min,0.01,1.5,20,0.17156674040014108,-0.07938974431416868,1.4835242098499701,1.6547609282793991,0.17245077913499346,-0.06478639742037211,-0.10201740696126292,0.5058294470353097,3002
SYF,1Month,1Min,0.01,1.5,30,0.1459630747729581,-0.07938974431416868,1.3045981544311396,1.3941895232449568,0.1466928402059179,-0.05348054502530311,-0.10676244063828998,0.5034558021098581,2749
SYF,1Month,1Min,0.01,2.0,10,0.17727749553333827,-0.07938974431416868,1.5961718741289104,1.9384954087877635,0.17788231984965827,-0.0443242891762606,-0.10054456202113853,0.5020366598778004,2946
SYF,1Month,1Min,0.01,2.0,20,0.1883038140555311,-0.07938974431416868,1.7017848130488917,1.846919113360107,0.18909664606775214,-0.058102352087461936,-0.08808059138894224,0.5059992500937383,2667
SYF,1Month,1Min,0.01,2.0,30,0.10614934701318979,-0.07938974431416868,1.020594692552377,1.0022886184221251,0.10726919700611728,-0.08206772376904677,-0.0938502330195201,0.4993681550126369,2374
SYF,1Month,1Min,0.1,1.0,10,0.1858398074529901,-0.07938974431416868,1.532649402426055,2.0371244100156782,0.18545183945540578,0.02843206738229912,-0.11234255132912373,0.500796812749004,3765
SYF,1Month,1Min,0.1,1.0,20,0.2155671103769461,-0.07938974431416868,1.7700606530226173,2.32601776112188,0.2152441392602282,0.023668798999493885,-0.11087560038239988,0.5008864039274512,3666
SYF,1Month,1Min,0.1,1.0,30,0.22006881297161485,-0.07938974431416868,1.8223464963936513,2.3921911411985115,0.21966125975267592,0.029867361882665193,-0.10940058943004115,0.5,3610
SYF,1Month,1Min,0.1,1.5,10,0.21643501655308928,-0.07938974431416868,1.7978885049152367,2.4534744183050443,0.21588156758180704,0.040559269172040044,-0.10445975137277186,0.5007578889348215,3628
SYF,1Month,1Min,0.1,1.5,20,0.21292523158377152,-0.07938974431416868,1.7984384765846249,2.406857219980838,0.2125967098602234,0.02407557282721376,-0.10255839357471548,0.4995710609093509,3497
SYF,1Month,1Min,0.1,1.5,30,0.24212894342304092,-0.07938974431416868,2.036814784869434,2.712167674123823,0.24173501228867908,0.028869073289290725,-0.10248087899335648,0.501179593040401,3391
