rebalance_frequency,total_return,annual_return,volatility,sharpe,max_drawdown,benchmark_total_return,benchmark_annual_return,benchmark_volatility,beta,daily_var_95,return_minus_spy,annual_return_minus_spy
ME,3.310790448241831,0.09383864430790068,0.10383654693086324,0.9037149932420288,-0.1974759748639704,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.24116212182990646,-0.010265122927918343,-4.047114005697774,-0.04537291379483621
W-FRI,2.743238974816611,0.08440045789474859,0.10556146502558932,0.799538523591814,-0.20151958292511685,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.12796430776110754,-0.01037731862405407,-4.614665479122994,-0.054811100207988295
