,trend,kalman,leader,combined
trend,1.0,0.2842702696411106,0.20328095277799776,0.6548874856238417
kalman,0.2842702696411106,1.0,0.20630738506121055,0.5258843721628254
leader,0.20328095277799776,0.20630738506121055,1.0,0.8333561178348248
combined,0.6548874856238417,0.5258843721628254,0.8333561178348248,1.0
