,total_return,annual_return,volatility,sharpe,max_drawdown,benchmark_total_return,benchmark_annual_return,benchmark_volatility,beta,daily_var_95,return_minus_spy,annual_return_minus_spy
trend,3.3107871714210733,0.09383859326651578,0.10383652494791011,0.9037146930099036,-0.1974760683429999,7.3579067099006,0.13921157697881514,0.17159001631663767,0.24116211818319286,-0.01026517326148321,-4.047119538479527,-0.045372983712299364
kalman,2.8944153215495647,0.0870392270031326,0.08675495129130296,1.0032767664277178,-0.11342121975196306,7.3579067099006,0.13921157697881514,0.17159001631663767,0.15358815384359234,-0.007073081464724536,-4.463491388351036,-0.05217234997568254
leader,630.5102969227792,0.4856130531103915,0.5416678813070199,0.8965143953867623,-0.606535986245144,7.3579067099006,0.13921157697881514,0.17159001631663767,0.8253119666107729,-0.04751692553119508,623.1523902128786,0.34640147613157635
combined,10.961830286156967,0.16456111142981134,0.11767903235994717,1.3983893997909926,-0.18735112525201492,7.3579067099006,0.13921157697881514,0.17159001631663767,0.29813370792846955,-0.011591033543040663,3.603923576256367,0.025349534450996192
