entry_z,exit_z,residual_window,measurement_variance,total_return,annual_return,volatility,sharpe,max_drawdown,benchmark_total_return,benchmark_annual_return,benchmark_volatility,beta,daily_var_95,return_minus_spy,annual_return_minus_spy
1.75,0.25,20,0.001,3.286109247245176,0.0934531609773237,0.08874165245813809,1.0530924136375324,-0.12609107489050086,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.16734670184334902,-0.006955581504534994,-4.071795206694429,-0.045758397125413186
1.75,0.5,20,0.001,2.950610619482271,0.08799565543854371,0.08513725192462354,1.0335740636361022,-0.1205345367382693,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.1563836429108118,-0.005870789188228095,-4.4072938344573345,-0.05121590266419318
1.0,0.0,30,0.01,3.077294127633852,0.09010576568004236,0.08821966040630876,1.0213796478590698,-0.1348026493896456,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.14862889042523286,-0.00668539973503229,-4.280610326305753,-0.04910579242269453
1.5,0.25,20,0.001,3.5269270301289772,0.09712855098894191,0.09592487461188143,1.0125481151988016,-0.11525221962030563,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.19321385381587458,-0.008633075058690981,-3.8309774238106282,-0.04208300711379498
1.75,0.5,10,0.001,3.3283015095396626,0.09411088655628652,0.0930717559496097,1.0111648329407197,-0.16019079199177444,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.1787116499922514,-0.008446415529074672,-4.029602944399943,-0.045100671546450366
1.0,0.25,30,0.01,2.8299889361804818,0.08592663747656015,0.0854177820167645,1.0059572544238597,-0.12794661783685246,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.14194264842983093,-0.005906951736586247,-4.527915517759124,-0.053284920626176735
2.0,0.25,10,0.001,2.894416005081817,0.08703923871524366,0.08675504187425229,1.0032758538852797,-0.11342238836121132,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.15358825572140064,-0.007072817033952987,-4.463488448857788,-0.05217231938749323
1.5,0.5,40,0.001,2.72891026634927,0.08414518549216465,0.08489986644626242,0.9911109288425625,-0.09731782579876913,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.1589691092303173,-0.0051177052839491135,-4.628994187590335,-0.055066372610572234
1.75,0.25,10,0.001,3.3111145224808194,0.09384369206905796,0.09512110550151887,0.9865706624652243,-0.15217277883245728,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.18509443034246825,-0.008705271379251388,-4.046789931458786,-0.04536786603367893
1.75,0.0,20,0.001,3.173896681158884,0.09167387338542654,0.09313293713622058,0.9843335366019871,-0.12930798279040112,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.18036333969463123,-0.008288251336260558,-4.1840077727807214,-0.04753768471731035
2.0,0.25,30,0.001,2.0211363024145026,0.07022724213817733,0.0718142207764813,0.9779016102779508,-0.10794138453411761,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.11940139287850739,-0.002970121656632296,-5.336768151525103,-0.06898431596455956
1.0,0.0,20,0.01,3.0023735280792723,0.08886541384672197,0.09142858928263281,0.9719652741443128,-0.1567028786610174,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.1571159111309731,-0.008092025989001805,-4.355530925860333,-0.05034614425601491
1.5,0.5,30,0.001,2.750764462794533,0.08453416073813491,0.08734828738617827,0.9677826923428764,-0.11475728666159046,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.16779122030026286,-0.006718955003877071,-4.607139991145072,-0.054677397364601976
1.5,0.5,20,0.001,2.9348067789076517,0.08772797568722934,0.09115265336707738,0.9624292047094158,-0.11193112791427184,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.17698950014895232,-0.007690068602819634,-4.423097675031954,-0.051483582415507545
2.0,0.5,10,0.001,2.641389863745712,0.0825656889014812,0.08603974246150836,0.9596226876018212,-0.11190133000264169,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.15195311139314516,-0.006627948427777717,-4.716514590193894,-0.056645869201255694
1.0,0.5,30,0.01,2.418548248721948,0.07837721607320858,0.08168913718045356,0.9594570193595158,-0.17452709523465582,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.12860940484326716,-0.00511477218433426,-4.939356205217658,-0.06083434202952831
1.75,0.25,30,0.001,2.591311817261244,0.08164581838098495,0.08566690425885994,0.953061384525762,-0.12842446331679103,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.1599599203387988,-0.0057880721774013965,-4.766592636678361,-0.05756573972175194
1.5,0.25,10,0.001,3.3987962151946904,0.09519650215386655,0.10027720371679029,0.949333433974954,-0.13174887565837656,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.20479403934261917,-0.009431460933172563,-3.959108238744915,-0.04401505594887034
1.75,0.5,30,0.001,2.2992595996845444,0.07602856885041742,0.08020625392017121,0.9479132253962165,-0.11018558167001968,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.1445514431431822,-0.004675146649068737,-5.058644854255061,-0.06318298925231947
1.5,0.25,30,0.001,2.9406921960403594,0.08782777848751033,0.09295238890788442,0.9448684376960709,-0.13450974795501225,7.3579044539396055,0.1392115581027369,0.17158998759079136,0.18498246028291981,-0.007799429398993149,-4.417212257899246,-0.051383779615226555
